value_network_X,value_network_y,policy_network_X,policy_network_y
"[[0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 1. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0.]]",1.0,"[[0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0.]]","[0.0008665710228760811, 6.570827146035316e-13, 9.751972146600687e-11, 8.892647529075129e-14, 6.570827146035316e-13, 0.01740554427654203, 8.892647529075129e-14, 1.7861360029013209e-12, 9.751972146600687e-11, 1.0694336016033067e-07, 7.205786926644163e-10, 1.319785912575762e-11, 1.4473209937573433e-08, 1.319785912575762e-11, 2.4172722185176153e-13, 1.319785912575762e-11, 4.855221039843133e-12, 1.7861360029013209e-12, 2.9070219259817783e-07, 9.751972146600687e-11, 0.006403141901739079, 1.5871801926439307e-05, 7.205786926644163e-10, 1.7861360029013209e-12, 8.892647529075129e-14, 9.751972146600687e-11, 1.319785912575762e-11, 1.319785912575762e-11, 5.32439638379148e-09, 6.570827146035316e-13, 3.587550063610931e-11, 3.934226357277874e-08, 8.892647529075129e-14, 2.9070219259817783e-07, 1.4473209937573433e-08, 2.9070219259817783e-07, 6.570827146035316e-13, 9.751972146600687e-11, 0.9503105178191769, 6.570827146035316e-13, 7.205786926644163e-10, 1.319785912575762e-11, 2.1480148091900787e-06, 1.319785912575762e-11, 0.01740554427654203, 9.751972146600687e-11, 4.855221039843133e-12, 1.319785912575762e-11, 6.570827146035316e-13, 9.751972146600687e-11, 7.902104876328284e-07, 2.6508608677743396e-10, 6.570827146035316e-13, 8.892647529075129e-14, 8.892647529075129e-14, 0.006403141901739079, 2.6508608677743396e-10, 0.0008665710228760811, 6.570827146035316e-13, 9.751972146600687e-11, 1.4473209937573433e-08, 2.4172722185176153e-13, 3.587550063610931e-11, 2.4172722185176153e-13, 8.892647529075129e-14, 9.751972146600687e-11, 7.205786926644163e-10, 7.205786926644163e-10, 6.570827146035316e-13, 3.587550063610931e-11, 2.4172722185176153e-13, 7.205786926644163e-10, 0.00031879366363101786, 6.570827146035316e-13, 6.570827146035316e-13, 2.9070219259817783e-07, 2.6508608677743396e-10, 6.570827146035316e-13, 1.319785912575762e-11, 1.7861360029013209e-12, 8.892647529075129e-14]"
"[[ 0.  0.  0.  0.  0.  0.  0.  0.  0.]
 [ 0.  0.  0.  0.  0.  0.  0.  0.  0.]
 [ 0.  0.  0.  0.  0. -1.  0.  0.  0.]
 [ 0.  0.  0.  0.  0.  0.  0.  0.  0.]
 [ 0.  0.  1.  0.  0.  0.  0.  0.  0.]
 [ 0.  0.  0.  0.  0.  0.  0.  0.  0.]
 [ 0.  0.  0.  0.  0.  0.  0.  0.  0.]
 [ 0.  0.  0.  0.  0.  0.  0.  0.  0.]
 [ 0.  0.  0.  0.  0.  0.  0.  0.  0.]]",1.0,"[[0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 1. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0.]]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
"[[ 0.  0.  0.  0.  0.  0.  0.  0.  0.]
 [ 0.  0.  0.  0.  0.  0.  0.  0.  0.]
 [ 0.  0.  0.  0.  0. -1.  0.  0.  0.]
 [ 0.  0.  0.  0.  0.  0.  0.  0.  0.]
 [ 0.  0.  1.  0.  0.  0.  0.  0.  0.]
 [ 0.  1.  0.  0.  0.  0.  0.  0.  0.]
 [ 0.  0.  0.  0.  0.  0.  0.  0.  0.]
 [ 0.  0.  0.  0.  0.  0.  0.  0.  0.]
 [ 0.  0.  0.  0.  0.  0.  0.  0.  0.]]",1.0,"[[ 0.  0.  0.  0.  0.  0.  0.  0.  0.]
 [ 0.  0.  0.  0.  0.  0.  0.  0.  0.]
 [ 0.  0.  0.  0.  0. -1.  0.  0.  0.]
 [ 0.  0.  0.  0.  0.  0.  0.  0.  0.]
 [ 0.  0.  1.  0.  0.  0.  0.  0.  0.]
 [ 0.  0.  0.  0.  0.  0.  0.  0.  0.]
 [ 0.  0.  0.  0.  0.  0.  0.  0.  0.]
 [ 0.  0.  0.  0.  0.  0.  0.  0.  0.]
 [ 0.  0.  0.  0.  0.  0.  0.  0.  0.]]","[3.5996164455835086e-186, 3.5996164455835086e-186, 3.5996164455835086e-186, 3.5996164455835086e-186, 3.5996164455835086e-186, 3.5996164455835086e-186, 3.5996164455835086e-186, 3.5996164455835086e-186, 3.5996164455835086e-186, 3.5996164455835086e-186, 3.5996164455835086e-186, 3.5996164455835086e-186, 3.5996164455835086e-186, 3.5996164455835086e-186, 3.5996164455835086e-186, 3.5996164455835086e-186, 3.5996164455835086e-186, 3.5996164455835086e-186, 3.5996164455835086e-186, 3.5996164455835086e-186, 3.5996164455835086e-186, 3.5996164455835086e-186, 3.5996164455835086e-186, 3.5996164455835086e-186, 3.5996164455835086e-186, 3.5996164455835086e-186, 3.5996164455835086e-186, 3.5996164455835086e-186, 3.5996164455835086e-186, 3.5996164455835086e-186, 3.5996164455835086e-186, 3.5996164455835086e-186, 3.5996164455835086e-186, 3.5996164455835086e-186, 3.5996164455835086e-186, 3.5996164455835086e-186, 3.5996164455835086e-186, 3.5996164455835086e-186, 3.5996164455835086e-186, 3.5996164455835086e-186, 3.5996164455835086e-186, 3.5996164455835086e-186, 3.5996164455835086e-186, 3.5996164455835086e-186, 3.5996164455835086e-186, 1.9653239875774178e-184, 1.0, 2.2444145171954394e-158, 5.342304482466365e-184, 2.0239296102932935e-118, 3.50775547440964e-176, 5.858548237893603e-181, 6.6905053812661495e-155, 4.218441761327482e-170, 3.5996164455835086e-186, 3.5996164455835086e-186, 3.5996164455835086e-186, 3.5996164455835086e-186, 3.5996164455835086e-186, 3.5996164455835086e-186, 3.5996164455835086e-186, 3.5996164455835086e-186, 3.5996164455835086e-186, 3.5996164455835086e-186, 3.5996164455835086e-186, 3.5996164455835086e-186, 3.5996164455835086e-186, 3.5996164455835086e-186, 3.5996164455835086e-186, 3.5996164455835086e-186, 3.5996164455835086e-186, 3.5996164455835086e-186, 3.5996164455835086e-186, 3.5996164455835086e-186, 3.5996164455835086e-186, 3.5996164455835086e-186, 3.5996164455835086e-186, 3.5996164455835086e-186, 3.5996164455835086e-186, 3.5996164455835086e-186, 3.5996164455835086e-186]"
"[[ 0.  0.  0.  0.  0.  0.  0.  0.  0.]
 [ 0.  0.  0.  0.  0.  0. -1.  0.  0.]
 [ 0.  0.  0.  0.  0. -1.  0.  0.  0.]
 [ 0.  0.  0.  0.  0.  0.  0.  0.  0.]
 [ 0.  0.  1.  0.  0.  0.  0.  0.  0.]
 [ 0.  1.  0.  0.  0.  0.  0.  0.  0.]
 [ 0.  0.  0.  0.  0.  0.  0.  0.  0.]
 [ 0.  0.  0.  0.  0.  0.  0.  0.  0.]
 [ 0.  0.  0.  0.  0.  0.  0.  0.  0.]]",1.0,"[[ 0.  0.  0.  0.  0.  0.  0.  0.  0.]
 [ 0.  0.  0.  0.  0.  0.  0.  0.  0.]
 [ 0.  0.  0.  0.  0. -1.  0.  0.  0.]
 [ 0.  0.  0.  0.  0.  0.  0.  0.  0.]
 [ 0.  0.  1.  0.  0.  0.  0.  0.  0.]
 [ 0.  1.  0.  0.  0.  0.  0.  0.  0.]
 [ 0.  0.  0.  0.  0.  0.  0.  0.  0.]
 [ 0.  0.  0.  0.  0.  0.  0.  0.  0.]
 [ 0.  0.  0.  0.  0.  0.  0.  0.  0.]]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
"[[ 0.  0.  0.  0.  0.  0.  0.  0.  0.]
 [ 0.  0.  0.  0.  0.  0. -1.  0.  0.]
 [ 0.  0.  0.  0.  0. -1.  0.  0.  0.]
 [ 0.  0.  0.  0.  0.  0.  0.  0.  0.]
 [ 0.  0.  1.  0.  0.  0.  0.  0.  0.]
 [ 0.  1.  0.  0.  0.  0.  0.  0.  0.]
 [ 0.  0.  0.  0.  0.  0.  0.  0.  1.]
 [ 0.  0.  0.  0.  0.  0.  0.  0.  0.]
 [ 0.  0.  0.  0.  0.  0.  0.  0.  0.]]",1.0,"[[ 0.  0.  0.  0.  0.  0.  0.  0.  0.]
 [ 0.  0.  0.  0.  0.  0. -1.  0.  0.]
 [ 0.  0.  0.  0.  0. -1.  0.  0.  0.]
 [ 0.  0.  0.  0.  0.  0.  0.  0.  0.]
 [ 0.  0.  1.  0.  0.  0.  0.  0.  0.]
 [ 0.  1.  0.  0.  0.  0.  0.  0.  0.]
 [ 0.  0.  0.  0.  0.  0.  0.  0.  0.]
 [ 0.  0.  0.  0.  0.  0.  0.  0.  0.]
 [ 0.  0.  0.  0.  0.  0.  0.  0.  0.]]","[3.4182387635625514e-166, 3.4182387635625514e-166, 3.4182387635625514e-166, 3.4182387635625514e-166, 3.4182387635625514e-166, 3.4182387635625514e-166, 3.4182387635625514e-166, 3.4182387635625514e-166, 3.4182387635625514e-166, 3.4182387635625514e-166, 3.4182387635625514e-166, 3.4182387635625514e-166, 3.4182387635625514e-166, 3.4182387635625514e-166, 3.4182387635625514e-166, 3.4182387635625514e-166, 3.4182387635625514e-166, 3.4182387635625514e-166, 3.4182387635625514e-166, 3.4182387635625514e-166, 3.4182387635625514e-166, 3.4182387635625514e-166, 3.4182387635625514e-166, 3.4182387635625514e-166, 3.4182387635625514e-166, 3.4182387635625514e-166, 3.4182387635625514e-166, 3.4182387635625514e-166, 3.4182387635625514e-166, 3.4182387635625514e-166, 3.4182387635625514e-166, 3.4182387635625514e-166, 3.4182387635625514e-166, 3.4182387635625514e-166, 3.4182387635625514e-166, 3.4182387635625514e-166, 3.4182387635625514e-166, 3.4182387635625514e-166, 3.4182387635625514e-166, 3.4182387635625514e-166, 3.4182387635625514e-166, 3.4182387635625514e-166, 3.4182387635625514e-166, 3.4182387635625514e-166, 3.4182387635625514e-166, 3.4182387635625514e-166, 3.4182387635625514e-166, 3.4182387635625514e-166, 3.4182387635625514e-166, 3.4182387635625514e-166, 3.4182387635625514e-166, 3.4182387635625514e-166, 3.4182387635625514e-166, 3.4182387635625514e-166, 5.5633473698397695e-161, 1.0889118078156954e-149, 2.131322828462168e-138, 1.8662951286209762e-164, 6.865716089780698e-165, 3.6123561383267394e-110, 3.163163540395093e-136, 9.188626215152886e-123, 1.0, 3.4182387635625514e-166, 3.4182387635625514e-166, 3.4182387635625514e-166, 3.4182387635625514e-166, 3.4182387635625514e-166, 3.4182387635625514e-166, 3.4182387635625514e-166, 3.4182387635625514e-166, 3.4182387635625514e-166, 3.4182387635625514e-166, 3.4182387635625514e-166, 3.4182387635625514e-166, 3.4182387635625514e-166, 3.4182387635625514e-166, 3.4182387635625514e-166, 3.4182387635625514e-166, 3.4182387635625514e-166, 3.4182387635625514e-166]"
"[[ 0.  0.  0.  0.  0.  0.  0.  0.  0.]
 [ 0.  0.  0.  0.  0.  0. -1.  0.  0.]
 [ 0.  0.  0.  0.  0. -1.  0.  0.  0.]
 [ 0.  0.  0.  0.  0.  0.  0.  0.  0.]
 [ 0.  0.  1.  0.  0.  0.  0.  0.  0.]
 [ 0.  1.  0.  0.  0.  0.  0.  0.  0.]
 [ 0.  0.  0.  0.  0.  0.  0.  0.  1.]
 [ 0.  0.  0.  0.  0.  0.  0.  0.  0.]
 [ 0. -1.  0.  0.  0.  0.  0.  0.  0.]]",1.0,"[[ 0.  0.  0.  0.  0.  0.  0.  0.  0.]
 [ 0.  0.  0.  0.  0.  0. -1.  0.  0.]
 [ 0.  0.  0.  0.  0. -1.  0.  0.  0.]
 [ 0.  0.  0.  0.  0.  0.  0.  0.  0.]
 [ 0.  0.  1.  0.  0.  0.  0.  0.  0.]
 [ 0.  1.  0.  0.  0.  0.  0.  0.  0.]
 [ 0.  0.  0.  0.  0.  0.  0.  0.  1.]
 [ 0.  0.  0.  0.  0.  0.  0.  0.  0.]
 [ 0.  0.  0.  0.  0.  0.  0.  0.  0.]]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
"[[ 0.  0.  0.  0.  0.  0.  0.  0.  0.]
 [ 0.  0.  0.  0.  0.  1. -1.  0.  0.]
 [ 0.  0.  0.  0.  0. -1.  0.  0.  0.]
 [ 0.  0.  0.  0.  0.  0.  0.  0.  0.]
 [ 0.  0.  1.  0.  0.  0.  0.  0.  0.]
 [ 0.  1.  0.  0.  0.  0.  0.  0.  0.]
 [ 0.  0.  0.  0.  0.  0.  0.  0.  1.]
 [ 0.  0.  0.  0.  0.  0.  0.  0.  0.]
 [ 0. -1.  0.  0.  0.  0.  0.  0.  0.]]",1.0,"[[ 0.  0.  0.  0.  0.  0.  0.  0.  0.]
 [ 0.  0.  0.  0.  0.  0. -1.  0.  0.]
 [ 0.  0.  0.  0.  0. -1.  0.  0.  0.]
 [ 0.  0.  0.  0.  0.  0.  0.  0.  0.]
 [ 0.  0.  1.  0.  0.  0.  0.  0.  0.]
 [ 0.  1.  0.  0.  0.  0.  0.  0.  0.]
 [ 0.  0.  0.  0.  0.  0.  0.  0.  1.]
 [ 0.  0.  0.  0.  0.  0.  0.  0.  0.]
 [ 0. -1.  0.  0.  0.  0.  0.  0.  0.]]","[5.924289893653081e-224, 5.924289893653081e-224, 5.924289893653081e-224, 5.924289893653081e-224, 5.924289893653081e-224, 5.924289893653081e-224, 5.924289893653081e-224, 5.924289893653081e-224, 5.924289893653081e-224, 2.4889188336286325e-198, 4.800501821955756e-220, 3.790618342239785e-206, 1.9366606581912876e-217, 8.792425785565214e-222, 1.0, 5.924289893653081e-224, 1.1174281901343568e-159, 4.800501821955756e-220, 5.924289893653081e-224, 5.924289893653081e-224, 5.924289893653081e-224, 5.924289893653081e-224, 5.924289893653081e-224, 5.924289893653081e-224, 5.924289893653081e-224, 5.924289893653081e-224, 5.924289893653081e-224, 5.924289893653081e-224, 5.924289893653081e-224, 5.924289893653081e-224, 5.924289893653081e-224, 5.924289893653081e-224, 5.924289893653081e-224, 5.924289893653081e-224, 5.924289893653081e-224, 5.924289893653081e-224, 5.924289893653081e-224, 5.924289893653081e-224, 5.924289893653081e-224, 5.924289893653081e-224, 5.924289893653081e-224, 5.924289893653081e-224, 5.924289893653081e-224, 5.924289893653081e-224, 5.924289893653081e-224, 5.924289893653081e-224, 5.924289893653081e-224, 5.924289893653081e-224, 5.924289893653081e-224, 5.924289893653081e-224, 5.924289893653081e-224, 5.924289893653081e-224, 5.924289893653081e-224, 5.924289893653081e-224, 5.924289893653081e-224, 5.924289893653081e-224, 5.924289893653081e-224, 5.924289893653081e-224, 5.924289893653081e-224, 5.924289893653081e-224, 5.924289893653081e-224, 5.924289893653081e-224, 5.924289893653081e-224, 5.924289893653081e-224, 5.924289893653081e-224, 5.924289893653081e-224, 5.924289893653081e-224, 5.924289893653081e-224, 5.924289893653081e-224, 5.924289893653081e-224, 5.924289893653081e-224, 5.924289893653081e-224, 5.924289893653081e-224, 5.924289893653081e-224, 5.924289893653081e-224, 5.924289893653081e-224, 5.924289893653081e-224, 5.924289893653081e-224, 5.924289893653081e-224, 5.924289893653081e-224, 5.924289893653081e-224]"
"[[ 0.  0.  0.  0.  0.  0.  0.  0.  0.]
 [ 0.  0.  0.  0.  0.  1. -1.  0.  0.]
 [ 0.  0.  0.  0.  0. -1.  0.  0.  0.]
 [ 0.  0.  0.  0.  0.  0.  0.  0.  0.]
 [ 0.  0.  1.  0.  0.  0.  0.  0.  0.]
 [ 0.  1.  0. -1.  0.  0.  0.  0.  0.]
 [ 0.  0.  0.  0.  0.  0.  0.  0.  1.]
 [ 0.  0.  0.  0.  0.  0.  0.  0.  0.]
 [ 0. -1.  0.  0.  0.  0.  0.  0.  0.]]",1.0,"[[ 0.  0.  0.  0.  0.  0.  0.  0.  0.]
 [ 0.  0.  0.  0.  0.  1. -1.  0.  0.]
 [ 0.  0.  0.  0.  0. -1.  0.  0.  0.]
 [ 0.  0.  0.  0.  0.  0.  0.  0.  0.]
 [ 0.  0.  1.  0.  0.  0.  0.  0.  0.]
 [ 0.  1.  0.  0.  0.  0.  0.  0.  0.]
 [ 0.  0.  0.  0.  0.  0.  0.  0.  1.]
 [ 0.  0.  0.  0.  0.  0.  0.  0.  0.]
 [ 0. -1.  0.  0.  0.  0.  0.  0.  0.]]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
"[[ 0.  0.  0.  0.  0.  0.  0.  0.  0.]
 [ 0.  0.  0.  0.  0.  1. -1.  0.  0.]
 [ 0.  0.  0.  0.  0. -1.  0.  0.  0.]
 [ 1.  0.  0.  0.  0.  0.  0.  0.  0.]
 [ 0.  0.  1.  0.  0.  0.  0.  0.  0.]
 [ 0.  1.  0. -1.  0.  0.  0.  0.  0.]
 [ 0.  0.  0.  0.  0.  0.  0.  0.  1.]
 [ 0.  0.  0.  0.  0.  0.  0.  0.  0.]
 [ 0. -1.  0.  0.  0.  0.  0.  0.  0.]]",1.0,"[[ 0.  0.  0.  0.  0.  0.  0.  0.  0.]
 [ 0.  0.  0.  0.  0.  1. -1.  0.  0.]
 [ 0.  0.  0.  0.  0. -1.  0.  0.  0.]
 [ 0.  0.  0.  0.  0.  0.  0.  0.  0.]
 [ 0.  0.  1.  0.  0.  0.  0.  0.  0.]
 [ 0.  1.  0. -1.  0.  0.  0.  0.  0.]
 [ 0.  0.  0.  0.  0.  0.  0.  0.  1.]
 [ 0.  0.  0.  0.  0.  0.  0.  0.  0.]
 [ 0. -1.  0.  0.  0.  0.  0.  0.  0.]]","[1.72702877557863e-134, 1.72702877557863e-134, 1.72702877557863e-134, 1.72702877557863e-134, 1.72702877557863e-134, 1.72702877557863e-134, 1.72702877557863e-134, 1.72702877557863e-134, 1.72702877557863e-134, 1.72702877557863e-134, 1.72702877557863e-134, 1.72702877557863e-134, 1.72702877557863e-134, 1.72702877557863e-134, 1.72702877557863e-134, 1.72702877557863e-134, 1.72702877557863e-134, 1.72702877557863e-134, 1.72702877557863e-134, 1.72702877557863e-134, 1.72702877557863e-134, 1.72702877557863e-134, 1.72702877557863e-134, 1.72702877557863e-134, 1.72702877557863e-134, 1.72702877557863e-134, 1.72702877557863e-134, 1.0, 1.8455849111782345e-121, 5.8792826982452694e-105, 1.2619502849247644e-90, 2.563137964446793e-132, 3.082440696949098e-126, 8.72562918503701e-103, 2.6395702969591894e-66, 1.4954929430743994e-117, 1.72702877557863e-134, 1.72702877557863e-134, 1.72702877557863e-134, 1.72702877557863e-134, 1.72702877557863e-134, 1.72702877557863e-134, 1.72702877557863e-134, 1.72702877557863e-134, 1.72702877557863e-134, 1.72702877557863e-134, 1.72702877557863e-134, 1.72702877557863e-134, 1.72702877557863e-134, 1.72702877557863e-134, 1.72702877557863e-134, 1.72702877557863e-134, 1.72702877557863e-134, 1.72702877557863e-134, 1.72702877557863e-134, 1.72702877557863e-134, 1.72702877557863e-134, 1.72702877557863e-134, 1.72702877557863e-134, 1.72702877557863e-134, 1.72702877557863e-134, 1.72702877557863e-134, 1.72702877557863e-134, 1.72702877557863e-134, 1.72702877557863e-134, 1.72702877557863e-134, 1.72702877557863e-134, 1.72702877557863e-134, 1.72702877557863e-134, 1.72702877557863e-134, 1.72702877557863e-134, 1.72702877557863e-134, 1.72702877557863e-134, 1.72702877557863e-134, 1.72702877557863e-134, 1.72702877557863e-134, 1.72702877557863e-134, 1.72702877557863e-134, 1.72702877557863e-134, 1.72702877557863e-134, 1.72702877557863e-134]"
"[[ 0.  0.  0. -1.  0.  0.  0.  0.  0.]
 [ 0.  0.  0.  0.  0.  1. -1.  0.  0.]
 [ 0.  0.  0.  0.  0. -1.  0.  0.  0.]
 [ 1.  0.  0.  0.  0.  0.  0.  0.  0.]
 [ 0.  0.  1.  0.  0.  0.  0.  0.  0.]
 [ 0.  1.  0. -1.  0.  0.  0.  0.  0.]
 [ 0.  0.  0.  0.  0.  0.  0.  0.  1.]
 [ 0.  0.  0.  0.  0.  0.  0.  0.  0.]
 [ 0. -1.  0.  0.  0.  0.  0.  0.  0.]]",1.0,"[[ 0.  0.  0.  0.  0.  0.  0.  0.  0.]
 [ 0.  0.  0.  0.  0.  1. -1.  0.  0.]
 [ 0.  0.  0.  0.  0. -1.  0.  0.  0.]
 [ 1.  0.  0.  0.  0.  0.  0.  0.  0.]
 [ 0.  0.  1.  0.  0.  0.  0.  0.  0.]
 [ 0.  1.  0. -1.  0.  0.  0.  0.  0.]
 [ 0.  0.  0.  0.  0.  0.  0.  0.  1.]
 [ 0.  0.  0.  0.  0.  0.  0.  0.  0.]
 [ 0. -1.  0.  0.  0.  0.  0.  0.  0.]]","[0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
