value_network_X,value_network_y,policy_network_X,policy_network_y
"[[0. 1. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0.]]",1.0,"[[0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0.]]","[1.8147058146675126e-09, 0.8804321011844464, 4.498205988116195e-12, 0.00010865395311879617, 1.654797505182221e-12, 6.675929609904515e-10, 6.087659814583324e-13, 1.2227391598161915e-11, 1.654797505182221e-12, 1.8147058146675126e-09, 1.654797505182221e-12, 5.409561792364188e-06, 2.455937254191558e-10, 3.3237496390736335e-11, 3.9971555554410825e-05, 0.00010865395311879617, 2.2395248906307592e-13, 1.654797505182221e-12, 3.3237496390736335e-11, 2.6932622279662045e-07, 9.034888246241169e-11, 2.455937254191558e-10, 2.455937254191558e-10, 9.034888246241169e-11, 4.498205988116195e-12, 2.455937254191558e-10, 2.2395248906307592e-13, 4.498205988116195e-12, 8.238751652547793e-14, 3.9971555554410825e-05, 1.2227391598161915e-11, 4.498205988116195e-12, 1.2227391598161915e-11, 3.3237496390736335e-11, 1.2227391598161915e-11, 2.455937254191558e-10, 1.8147058146675126e-09, 4.498205988116195e-12, 0.00010865395311879617, 3.6449340645227685e-08, 4.932881840009668e-09, 1.654797505182221e-12, 6.675929609904515e-10, 3.6449340645227685e-08, 8.238751652547793e-14, 8.238751652547793e-14, 2.6932622279662045e-07, 6.087659814583324e-13, 3.3237496390736335e-11, 6.087659814583324e-13, 2.2395248906307592e-13, 1.2227391598161915e-11, 3.6449340645227685e-08, 1.654797505182221e-12, 4.932881840009668e-09, 1.654797505182221e-12, 1.8147058146675126e-09, 9.90795803352361e-08, 6.675929609904515e-10, 3.3237496390736335e-11, 1.654797505182221e-12, 2.455937254191558e-10, 6.087659814583324e-13, 1.2227391598161915e-11, 1.654797505182221e-12, 4.498205988116195e-12, 4.498205988116195e-12, 3.3237496390736335e-11, 1.8147058146675126e-09, 0.11915352778440311, 4.498205988116195e-12, 2.2395248906307592e-13, 2.6932622279662045e-07, 2.455937254191558e-10, 1.9900665691573232e-06, 1.34089630676339e-08, 4.498205988116195e-12, 6.087659814583324e-13, 1.34089630676339e-08, 6.087659814583324e-13, 3.3237496390736335e-11]"
"[[ 0.  1.  0.  0.  0.  0.  0.  0.  0.]
 [-1.  0.  0.  0.  0.  0.  0.  0.  0.]
 [ 0.  0.  0.  0.  0.  0.  0.  0.  0.]
 [ 0.  0.  0.  0.  0.  0.  0.  0.  0.]
 [ 0.  0.  0.  0.  0.  0.  0.  0.  0.]
 [ 0.  0.  0.  0.  0.  0.  0.  0.  0.]
 [ 0.  0.  0.  0.  0.  0.  0.  0.  0.]
 [ 0.  0.  0.  0.  0.  0.  0.  0.  0.]
 [ 0.  0.  0.  0.  0.  0.  0.  0.  0.]]",1.0,"[[0. 1. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0.]]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
"[[ 1.  1.  0.  0.  0.  0.  0.  0.  0.]
 [-1.  0.  0.  0.  0.  0.  0.  0.  0.]
 [ 0.  0.  0.  0.  0.  0.  0.  0.  0.]
 [ 0.  0.  0.  0.  0.  0.  0.  0.  0.]
 [ 0.  0.  0.  0.  0.  0.  0.  0.  0.]
 [ 0.  0.  0.  0.  0.  0.  0.  0.  0.]
 [ 0.  0.  0.  0.  0.  0.  0.  0.  0.]
 [ 0.  0.  0.  0.  0.  0.  0.  0.  0.]
 [ 0.  0.  0.  0.  0.  0.  0.  0.  0.]]",1.0,"[[ 0.  1.  0.  0.  0.  0.  0.  0.  0.]
 [-1.  0.  0.  0.  0.  0.  0.  0.  0.]
 [ 0.  0.  0.  0.  0.  0.  0.  0.  0.]
 [ 0.  0.  0.  0.  0.  0.  0.  0.  0.]
 [ 0.  0.  0.  0.  0.  0.  0.  0.  0.]
 [ 0.  0.  0.  0.  0.  0.  0.  0.  0.]
 [ 0.  0.  0.  0.  0.  0.  0.  0.  0.]
 [ 0.  0.  0.  0.  0.  0.  0.  0.  0.]
 [ 0.  0.  0.  0.  0.  0.  0.  0.  0.]]","[0.9999999998973812, 3.860335204768113e-97, 1.900619935069962e-55, 2.3802664084501406e-26, 7.868448158271152e-63, 1.0261879630648829e-10, 2.1076716068815804e-95, 3.0482349506590505e-83, 5.7292454293452764e-95, 3.860335204768113e-97, 3.860335204768113e-97, 3.860335204768113e-97, 3.860335204768113e-97, 3.860335204768113e-97, 3.860335204768113e-97, 3.860335204768113e-97, 3.860335204768113e-97, 3.860335204768113e-97, 3.860335204768113e-97, 3.860335204768113e-97, 3.860335204768113e-97, 3.860335204768113e-97, 3.860335204768113e-97, 3.860335204768113e-97, 3.860335204768113e-97, 3.860335204768113e-97, 3.860335204768113e-97, 3.860335204768113e-97, 3.860335204768113e-97, 3.860335204768113e-97, 3.860335204768113e-97, 3.860335204768113e-97, 3.860335204768113e-97, 3.860335204768113e-97, 3.860335204768113e-97, 3.860335204768113e-97, 3.860335204768113e-97, 3.860335204768113e-97, 3.860335204768113e-97, 3.860335204768113e-97, 3.860335204768113e-97, 3.860335204768113e-97, 3.860335204768113e-97, 3.860335204768113e-97, 3.860335204768113e-97, 3.860335204768113e-97, 3.860335204768113e-97, 3.860335204768113e-97, 3.860335204768113e-97, 3.860335204768113e-97, 3.860335204768113e-97, 3.860335204768113e-97, 3.860335204768113e-97, 3.860335204768113e-97, 3.860335204768113e-97, 3.860335204768113e-97, 3.860335204768113e-97, 3.860335204768113e-97, 3.860335204768113e-97, 3.860335204768113e-97, 3.860335204768113e-97, 3.860335204768113e-97, 3.860335204768113e-97, 3.860335204768113e-97, 3.860335204768113e-97, 3.860335204768113e-97, 3.860335204768113e-97, 3.860335204768113e-97, 3.860335204768113e-97, 3.860335204768113e-97, 3.860335204768113e-97, 3.860335204768113e-97, 3.860335204768113e-97, 3.860335204768113e-97, 3.860335204768113e-97, 3.860335204768113e-97, 3.860335204768113e-97, 3.860335204768113e-97, 3.860335204768113e-97, 3.860335204768113e-97, 3.860335204768113e-97]"
"[[ 1.  1.  0.  0.  0.  0.  0.  0. -1.]
 [-1.  0.  0.  0.  0.  0.  0.  0.  0.]
 [ 0.  0.  0.  0.  0.  0.  0.  0.  0.]
 [ 0.  0.  0.  0.  0.  0.  0.  0.  0.]
 [ 0.  0.  0.  0.  0.  0.  0.  0.  0.]
 [ 0.  0.  0.  0.  0.  0.  0.  0.  0.]
 [ 0.  0.  0.  0.  0.  0.  0.  0.  0.]
 [ 0.  0.  0.  0.  0.  0.  0.  0.  0.]
 [ 0.  0.  0.  0.  0.  0.  0.  0.  0.]]",1.0,"[[ 1.  1.  0.  0.  0.  0.  0.  0.  0.]
 [-1.  0.  0.  0.  0.  0.  0.  0.  0.]
 [ 0.  0.  0.  0.  0.  0.  0.  0.  0.]
 [ 0.  0.  0.  0.  0.  0.  0.  0.  0.]
 [ 0.  0.  0.  0.  0.  0.  0.  0.  0.]
 [ 0.  0.  0.  0.  0.  0.  0.  0.  0.]
 [ 0.  0.  0.  0.  0.  0.  0.  0.  0.]
 [ 0.  0.  0.  0.  0.  0.  0.  0.  0.]
 [ 0.  0.  0.  0.  0.  0.  0.  0.  0.]]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
"[[ 1.  1.  0.  0.  0.  0.  0.  0. -1.]
 [-1.  0.  0.  0.  0.  0.  0.  0.  0.]
 [ 0.  0.  0.  0.  0.  0.  0.  0.  0.]
 [ 0.  0.  0.  0.  0.  0.  0.  0.  0.]
 [ 0.  0.  0.  0.  0.  0.  0.  0.  0.]
 [ 0.  0.  0.  0.  0.  0.  0.  0.  0.]
 [ 0.  0.  0.  0.  0.  0.  0.  0.  0.]
 [ 0.  0.  0.  0.  0.  0.  0.  0.  0.]
 [ 0.  0.  0.  0.  0.  0.  1.  0.  0.]]",1.0,"[[ 1.  1.  0.  0.  0.  0.  0.  0. -1.]
 [-1.  0.  0.  0.  0.  0.  0.  0.  0.]
 [ 0.  0.  0.  0.  0.  0.  0.  0.  0.]
 [ 0.  0.  0.  0.  0.  0.  0.  0.  0.]
 [ 0.  0.  0.  0.  0.  0.  0.  0.  0.]
 [ 0.  0.  0.  0.  0.  0.  0.  0.  0.]
 [ 0.  0.  0.  0.  0.  0.  0.  0.  0.]
 [ 0.  0.  0.  0.  0.  0.  0.  0.  0.]
 [ 0.  0.  0.  0.  0.  0.  0.  0.  0.]]","[1.3485187416434507e-77, 1.3485187416434507e-77, 1.3485187416434507e-77, 1.3485187416434507e-77, 1.3485187416434507e-77, 1.3485187416434507e-77, 1.3485187416434507e-77, 1.3485187416434507e-77, 1.3485187416434507e-77, 1.3485187416434507e-77, 1.3485187416434507e-77, 1.3485187416434507e-77, 1.3485187416434507e-77, 1.3485187416434507e-77, 1.3485187416434507e-77, 1.3485187416434507e-77, 1.3485187416434507e-77, 1.3485187416434507e-77, 1.3485187416434507e-77, 1.3485187416434507e-77, 1.3485187416434507e-77, 1.3485187416434507e-77, 1.3485187416434507e-77, 1.3485187416434507e-77, 1.3485187416434507e-77, 1.3485187416434507e-77, 1.3485187416434507e-77, 1.3485187416434507e-77, 1.3485187416434507e-77, 1.3485187416434507e-77, 1.3485187416434507e-77, 1.3485187416434507e-77, 1.3485187416434507e-77, 1.3485187416434507e-77, 1.3485187416434507e-77, 1.3485187416434507e-77, 1.3485187416434507e-77, 1.3485187416434507e-77, 1.3485187416434507e-77, 1.3485187416434507e-77, 1.3485187416434507e-77, 1.3485187416434507e-77, 1.3485187416434507e-77, 1.3485187416434507e-77, 1.3485187416434507e-77, 1.3485187416434507e-77, 1.3485187416434507e-77, 1.3485187416434507e-77, 1.3485187416434507e-77, 1.3485187416434507e-77, 1.3485187416434507e-77, 1.3485187416434507e-77, 1.3485187416434507e-77, 1.3485187416434507e-77, 1.3485187416434507e-77, 1.3485187416434507e-77, 1.3485187416434507e-77, 1.3485187416434507e-77, 1.3485187416434507e-77, 1.3485187416434507e-77, 1.3485187416434507e-77, 1.3485187416434507e-77, 1.3485187416434507e-77, 1.3485187416434507e-77, 1.3485187416434507e-77, 1.3485187416434507e-77, 1.3485187416434507e-77, 1.3485187416434507e-77, 1.3485187416434507e-77, 1.3485187416434507e-77, 1.3485187416434507e-77, 1.3485187416434507e-77, 2.862388628306716e-20, 4.5397868702434395e-05, 9.602244113300369e-24, 5.5208316316602246e-42, 2.9703101936465265e-73, 2.1947788652079742e-72, 0.9999546021312976, 1.688835207224744e-48, 5.301477979364423e-65]"
"[[ 1.  1.  0.  0.  0.  0.  0.  0. -1.]
 [-1.  0.  0.  0.  0.  0.  0.  0.  0.]
 [ 0.  0.  0.  0.  0.  0.  0.  0.  0.]
 [ 0.  0.  0.  0.  0.  0.  0.  0.  0.]
 [ 0.  0.  0.  0.  0.  0.  0.  0.  0.]
 [ 0.  0.  0.  0.  0.  0.  0.  0.  0.]
 [-1.  0.  0.  0.  0.  0.  0.  0.  0.]
 [ 0.  0.  0.  0.  0.  0.  0.  0.  0.]
 [ 0.  0.  0.  0.  0.  0.  1.  0.  0.]]",1.0,"[[ 1.  1.  0.  0.  0.  0.  0.  0. -1.]
 [-1.  0.  0.  0.  0.  0.  0.  0.  0.]
 [ 0.  0.  0.  0.  0.  0.  0.  0.  0.]
 [ 0.  0.  0.  0.  0.  0.  0.  0.  0.]
 [ 0.  0.  0.  0.  0.  0.  0.  0.  0.]
 [ 0.  0.  0.  0.  0.  0.  0.  0.  0.]
 [ 0.  0.  0.  0.  0.  0.  0.  0.  0.]
 [ 0.  0.  0.  0.  0.  0.  0.  0.  0.]
 [ 0.  0.  0.  0.  0.  0.  1.  0.  0.]]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
"[[ 1.  1.  1.  0.  0.  0.  0.  0. -1.]
 [-1.  0.  0.  0.  0.  0.  0.  0.  0.]
 [ 0.  0.  0.  0.  0.  0.  0.  0.  0.]
 [ 0.  0.  0.  0.  0.  0.  0.  0.  0.]
 [ 0.  0.  0.  0.  0.  0.  0.  0.  0.]
 [ 0.  0.  0.  0.  0.  0.  0.  0.  0.]
 [-1.  0.  0.  0.  0.  0.  0.  0.  0.]
 [ 0.  0.  0.  0.  0.  0.  0.  0.  0.]
 [ 0.  0.  0.  0.  0.  0.  1.  0.  0.]]",1.0,"[[ 1.  1.  0.  0.  0.  0.  0.  0. -1.]
 [-1.  0.  0.  0.  0.  0.  0.  0.  0.]
 [ 0.  0.  0.  0.  0.  0.  0.  0.  0.]
 [ 0.  0.  0.  0.  0.  0.  0.  0.  0.]
 [ 0.  0.  0.  0.  0.  0.  0.  0.  0.]
 [ 0.  0.  0.  0.  0.  0.  0.  0.  0.]
 [-1.  0.  0.  0.  0.  0.  0.  0.  0.]
 [ 0.  0.  0.  0.  0.  0.  0.  0.  0.]
 [ 0.  0.  0.  0.  0.  0.  1.  0.  0.]]","[6.05799464199894e-310, 6.05799464199894e-310, 1.0, 3.6271722970495225e-305, 1.8058627513522668e-306, 1.8058627513522668e-306, 4.9088439016919216e-306, 2.3208225941796005e-287, 6.05799464199894e-310, 6.05799464199894e-310, 6.05799464199894e-310, 6.05799464199894e-310, 6.05799464199894e-310, 6.05799464199894e-310, 6.05799464199894e-310, 6.05799464199894e-310, 6.05799464199894e-310, 6.05799464199894e-310, 6.05799464199894e-310, 6.05799464199894e-310, 6.05799464199894e-310, 6.05799464199894e-310, 6.05799464199894e-310, 6.05799464199894e-310, 6.05799464199894e-310, 6.05799464199894e-310, 6.05799464199894e-310, 6.05799464199894e-310, 6.05799464199894e-310, 6.05799464199894e-310, 6.05799464199894e-310, 6.05799464199894e-310, 6.05799464199894e-310, 6.05799464199894e-310, 6.05799464199894e-310, 6.05799464199894e-310, 6.05799464199894e-310, 6.05799464199894e-310, 6.05799464199894e-310, 6.05799464199894e-310, 6.05799464199894e-310, 6.05799464199894e-310, 6.05799464199894e-310, 6.05799464199894e-310, 6.05799464199894e-310, 6.05799464199894e-310, 6.05799464199894e-310, 6.05799464199894e-310, 6.05799464199894e-310, 6.05799464199894e-310, 6.05799464199894e-310, 6.05799464199894e-310, 6.05799464199894e-310, 6.05799464199894e-310, 6.05799464199894e-310, 6.05799464199894e-310, 6.05799464199894e-310, 6.05799464199894e-310, 6.05799464199894e-310, 6.05799464199894e-310, 6.05799464199894e-310, 6.05799464199894e-310, 6.05799464199894e-310, 6.05799464199894e-310, 6.05799464199894e-310, 6.05799464199894e-310, 6.05799464199894e-310, 6.05799464199894e-310, 6.05799464199894e-310, 6.05799464199894e-310, 6.05799464199894e-310, 6.05799464199894e-310, 6.05799464199894e-310, 6.05799464199894e-310, 6.05799464199894e-310, 6.05799464199894e-310, 6.05799464199894e-310, 6.05799464199894e-310, 6.05799464199894e-310, 6.05799464199894e-310, 6.05799464199894e-310]"
"[[ 1.  1.  1.  0.  0.  0.  0.  0. -1.]
 [-1.  0.  0.  0.  0.  0.  0.  0.  0.]
 [ 0.  0.  0.  0.  0. -1.  0.  0.  0.]
 [ 0.  0.  0.  0.  0.  0.  0.  0.  0.]
 [ 0.  0.  0.  0.  0.  0.  0.  0.  0.]
 [ 0.  0.  0.  0.  0.  0.  0.  0.  0.]
 [-1.  0.  0.  0.  0.  0.  0.  0.  0.]
 [ 0.  0.  0.  0.  0.  0.  0.  0.  0.]
 [ 0.  0.  0.  0.  0.  0.  1.  0.  0.]]",1.0,"[[ 1.  1.  1.  0.  0.  0.  0.  0. -1.]
 [-1.  0.  0.  0.  0.  0.  0.  0.  0.]
 [ 0.  0.  0.  0.  0.  0.  0.  0.  0.]
 [ 0.  0.  0.  0.  0.  0.  0.  0.  0.]
 [ 0.  0.  0.  0.  0.  0.  0.  0.  0.]
 [ 0.  0.  0.  0.  0.  0.  0.  0.  0.]
 [-1.  0.  0.  0.  0.  0.  0.  0.  0.]
 [ 0.  0.  0.  0.  0.  0.  0.  0.  0.]
 [ 0.  0.  0.  0.  0.  0.  1.  0.  0.]]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
"[[ 1.  1.  1.  0.  0.  0.  0.  0. -1.]
 [-1.  0.  0.  0.  0.  0.  0.  0.  0.]
 [ 0.  0.  0.  0.  0. -1.  0.  0.  0.]
 [ 0.  0.  0.  0.  0.  0.  0.  0.  0.]
 [ 0.  0.  0.  0.  0.  0.  0.  0.  0.]
 [ 0.  0.  0.  0.  0.  1.  0.  0.  0.]
 [-1.  0.  0.  0.  0.  0.  0.  0.  0.]
 [ 0.  0.  0.  0.  0.  0.  0.  0.  0.]
 [ 0.  0.  0.  0.  0.  0.  1.  0.  0.]]",1.0,"[[ 1.  1.  1.  0.  0.  0.  0.  0. -1.]
 [-1.  0.  0.  0.  0.  0.  0.  0.  0.]
 [ 0.  0.  0.  0.  0. -1.  0.  0.  0.]
 [ 0.  0.  0.  0.  0.  0.  0.  0.  0.]
 [ 0.  0.  0.  0.  0.  0.  0.  0.  0.]
 [ 0.  0.  0.  0.  0.  0.  0.  0.  0.]
 [-1.  0.  0.  0.  0.  0.  0.  0.  0.]
 [ 0.  0.  0.  0.  0.  0.  0.  0.  0.]
 [ 0.  0.  0.  0.  0.  0.  1.  0.  0.]]","[8.136318905805023e-192, 8.136318905805023e-192, 8.136318905805023e-192, 8.136318905805023e-192, 8.136318905805023e-192, 8.136318905805023e-192, 8.136318905805023e-192, 8.136318905805023e-192, 8.136318905805023e-192, 8.136318905805023e-192, 8.136318905805023e-192, 8.136318905805023e-192, 8.136318905805023e-192, 8.136318905805023e-192, 8.136318905805023e-192, 8.136318905805023e-192, 8.136318905805023e-192, 8.136318905805023e-192, 8.136318905805023e-192, 8.136318905805023e-192, 8.136318905805023e-192, 8.136318905805023e-192, 8.136318905805023e-192, 8.136318905805023e-192, 8.136318905805023e-192, 8.136318905805023e-192, 8.136318905805023e-192, 8.136318905805023e-192, 8.136318905805023e-192, 8.136318905805023e-192, 8.136318905805023e-192, 8.136318905805023e-192, 8.136318905805023e-192, 8.136318905805023e-192, 8.136318905805023e-192, 8.136318905805023e-192, 8.136318905805023e-192, 8.136318905805023e-192, 8.136318905805023e-192, 8.136318905805023e-192, 8.136318905805023e-192, 8.136318905805023e-192, 8.136318905805023e-192, 8.136318905805023e-192, 8.136318905805023e-192, 2.2116807832197573e-191, 3.037484743850101e-159, 4.328914158808713e-180, 8.472966775545996e-169, 3.5996164455835086e-186, 1.0, 7.928682851306888e-182, 5.20597071316492e-174, 1.163662835574428e-136, 8.136318905805023e-192, 8.136318905805023e-192, 8.136318905805023e-192, 8.136318905805023e-192, 8.136318905805023e-192, 8.136318905805023e-192, 8.136318905805023e-192, 8.136318905805023e-192, 8.136318905805023e-192, 8.136318905805023e-192, 8.136318905805023e-192, 8.136318905805023e-192, 8.136318905805023e-192, 8.136318905805023e-192, 8.136318905805023e-192, 8.136318905805023e-192, 8.136318905805023e-192, 8.136318905805023e-192, 8.136318905805023e-192, 8.136318905805023e-192, 8.136318905805023e-192, 8.136318905805023e-192, 8.136318905805023e-192, 8.136318905805023e-192, 8.136318905805023e-192, 8.136318905805023e-192, 8.136318905805023e-192]"
"[[ 1.  1.  1.  0.  0.  0.  0.  0. -1.]
 [-1.  0.  0.  0.  0.  0.  0.  0.  0.]
 [ 0.  0.  0.  0.  0. -1.  0.  0.  0.]
 [ 0.  0.  0.  0.  0.  0.  0.  0.  0.]
 [ 0.  0.  0.  0.  0.  0.  0.  0.  0.]
 [ 0.  0. -1.  0.  0.  1.  0.  0.  0.]
 [-1.  0.  0.  0.  0.  0.  0.  0.  0.]
 [ 0.  0.  0.  0.  0.  0.  0.  0.  0.]
 [ 0.  0.  0.  0.  0.  0.  1.  0.  0.]]",1.0,"[[ 1.  1.  1.  0.  0.  0.  0.  0. -1.]
 [-1.  0.  0.  0.  0.  0.  0.  0.  0.]
 [ 0.  0.  0.  0.  0. -1.  0.  0.  0.]
 [ 0.  0.  0.  0.  0.  0.  0.  0.  0.]
 [ 0.  0.  0.  0.  0.  0.  0.  0.  0.]
 [ 0.  0.  0.  0.  0.  1.  0.  0.  0.]
 [-1.  0.  0.  0.  0.  0.  0.  0.  0.]
 [ 0.  0.  0.  0.  0.  0.  0.  0.  0.]
 [ 0.  0.  0.  0.  0.  0.  1.  0.  0.]]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
